Date,^GSPC,^DJI,^GSPTSE,QQQM,SFY,VDY.TO,XHU.TO,CADUSD=X,CAD=X
2008-03-07,1293.3699951171875,11893.6904296875,13281.7001953125,,,,,1.0110201835632324,0.9890999794006348
2008-03-10,1273.3699951171875,11740.150390625,13005.099609375,,,,,1.0040160417556763,0.9959999918937683
2008-03-11,1320.6500244140625,12156.8095703125,13344.5,,,,,1.0085728168487549,0.9915000200271606
2008-03-12,1308.77001953125,12110.240234375,13297.400390625,,,,,1.009896993637085,0.9901999831199646
2008-03-13,1315.47998046875,12145.740234375,13443.5,,,,,1.0159504413604736,0.9843000173568726
2008-03-14,1288.1400146484375,11951.08984375,13252.7998046875,,,,,1.0128633975982666,0.9872999787330627
2008-03-17,1276.5999755859375,11972.25,12952.2001953125,,,,,1.0054292678833008,0.9945999979972839
2008-03-18,1330.739990234375,12392.66015625,13136.7001953125,,,,,1.0102030038833618,0.9898999929428101
2008-03-19,1298.4200439453125,12099.66015625,12709.400390625,,,,,0.9885330200195312,1.0116000175476074
2008-03-20,1329.510009765625,12361.3203125,12775.599609375,,,,,0.977899432182312,1.0226000547409058
2008-03-24,1349.8800048828125,12548.6396484375,13019.7001953125,,,,,0.9818360805511475,1.0184999704360962
2008-03-25,1352.989990234375,12532.599609375,13322.2001953125,,,,,0.9819324612617493,1.018399953842163
2008-03-26,1341.1300048828125,12422.8603515625,13391.900390625,,,,,0.9823182821273804,1.0180000066757202
2008-03-27,1325.760009765625,12302.4599609375,13405.7998046875,,,,,0.9841550588607788,1.0161000490188599
2008-03-28,1315.219970703125,12216.400390625,13233.7998046875,,,,,0.9812580347061157,1.0190999507904053
2008-03-31,1322.699951171875,12262.8896484375,13350.099609375,,,,,0.975324273109436,1.0253000259399414
2008-04-01,1370.1800537109375,12654.3603515625,13440.7001953125,,,,,,
2008-04-02,1367.530029296875,12608.919921875,13514.099609375,,,,,0.985512912273407,1.0147000551223755
2008-04-03,1369.31005859375,12626.0302734375,13551.2998046875,,,,,0.9955201148986816,1.0045000314712524
2008-04-04,1370.4000244140625,12609.419921875,13668.2001953125,,,,,0.9915716648101807,1.0084999799728394
2008-04-07,1372.5400390625,12612.4296875,13745.0,,,,,0.9876542687416077,1.0125000476837158
2008-04-08,1365.5400390625,12576.4404296875,13727.5,,,,,0.9859988689422607,1.01419997215271
